1. pwd	 2018-03-29 22:23:27	 25186
2. ls	 2018-03-29 22:23:25	 25185
3. log	 2018-03-29 22:23:22	 25150
4. clear	 2018-03-29 22:23:20	 25182
5. log	 2018-03-29 22:23:15	 25150
6. log	 2018-03-29 22:22:58	 25150
7. ls	 2018-03-29 22:22:54	 25160
8. rm	 2018-03-29 22:22:52	 25157
9. ls	 2018-03-29 22:22:48	 25153
10. cat	 2018-03-29 22:22:43	 25152
